"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.052473736195439	0	5.26764854491343	0	1	1
"BCEN2424_RS00045"	82100.613365324	2.06107936272634	0.872352359379243	2.36266841095379	0.0181438955596601	0.716145292934269
"BCEN2424_RS00050"	38028.7904786099	2.18523548934865	1.04658729991354	2.08796293393698	0.0368011783809525	0.731915625533384
"BCEN2424_RS00095"	6.32350563784984	0.0555549153029009	0.526031686375318	0.105611347646581	0.915890720987997	0.991189571984281
"BCEN2424_RS00745"	189.694497756361	0.138075867346856	0.346593839487098	0.398379462113885	0.690350494621675	0.936565506419293
"BCEN2424_RS01415"	6.3827075361148	0.746150968292969	0.566415654234129	1.3173205272758	0.187731207349142	0.761932760757187
"BCEN2424_RS01610"	34318.8023371233	1.93980005383996	1.0481195032149	1.85074320999657	0.0642065045381151	0.732695567118102
"BCEN2424_RS01615"	506.257318585359	0.11565011454965	0.295377720349425	0.391532964682775	0.69540332719296	0.936716922119782
"BCEN2424_RS01620"	59.5328866939838	0.144494925956675	0.302197973310429	0.478146575153384	0.632545884328888	0.922806964483166
"BCEN2424_RS01625"	82100.613365324	2.06107936272634	0.872352359379243	2.36266841095379	0.0181438955596601	0.716145292934269
"BCEN2424_RS01630"	0.052473736195439	0	5.26764854491343	0	1	1
"BCEN2424_RS01635"	153.836294292762	0.707981669393845	0.284976073165616	2.4843547794358	0.0129786432209538	0.716145292934269
"BCEN2424_RS01640"	3772.0974957954	0.381190808693863	0.276320539625218	1.37952397317581	0.167733260004296	0.756458562525251
"BCEN2424_RS01645"	1324.62116204562	0.366130324589353	0.245373020092195	1.49213766228979	0.13566306033086	0.736815843267811
"BCEN2424_RS01655"	328.711169815562	0.299025723360894	0.199291644370277	1.50044285251274	0.133499726248824	0.736651800328006
"BCEN2424_RS02220"	2.2615809924399	-0.4308656587625	0.918634836434445	-0.469028216298487	0.639049467532356	0.923292258167305
"BCEN2424_RS02700"	35875.3286052039	2.12934661307007	1.05678057050357	2.0149373223766	0.043911216775975	0.731915625533384
"BCEN2424_RS02705"	506.257318585359	0.11565011454965	0.295377720349425	0.391532964682775	0.69540332719296	0.936716922119782
"BCEN2424_RS02710"	59.5328866939838	0.144494925956675	0.302197973310429	0.478146575153384	0.632545884328888	0.922806964483166
"BCEN2424_RS02715"	82100.613365324	2.06107936272634	0.872352359379243	2.36266841095379	0.0181438955596601	0.716145292934269
"BCEN2424_RS02720"	0.052473736195439	0	5.26764854491343	0	1	1
"BCEN2424_RS02890"	52.996093977744	0.124727715513602	0.429735612337583	0.290242911996832	0.771630409393081	0.957112487871883
"BCEN2424_RS34380"	303105.791623296	0.0235061526478265	0.261586599149462	0.0898599267862182	0.928398526063799	0.994068144173762
"BCEN2424_RS03940"	38.4431432945406	0.498099772999631	0.425463170799254	1.17072359533241	0.241709897735496	0.782830528110602
"BCEN2424_RS04540"	28.0777397214332	0.126713540282927	0.322701159664349	0.392665277108781	0.694566719748673	0.936716922119782
"BCEN2424_RS04845"	305.296489322211	0.11649502605021	0.39320835241546	0.296267933614803	0.767025472522129	0.954842458945892
"BCEN2424_RS04920"	6.30253645534007	1.32712689698827	0.631601028655837	2.10121079095238	0.0356224665660403	0.731915625533384
"BCEN2424_RS04960"	703.130856220553	-0.115024601188722	0.34430905331509	-0.334073705240214	0.73832394148335	0.945772566946578
"BCEN2424_RS04965"	703.130856220553	-0.115024601188722	0.34430905331509	-0.334073705240214	0.73832394148335	0.945772566946578
"BCEN2424_RS04970"	703.130856220553	-0.115024601188722	0.34430905331509	-0.334073705240214	0.73832394148335	0.945772566946578
"BCEN2424_RS05030"	4.85762173003301	-0.361609772186018	0.589088676775108	-0.613846075204849	0.539317047011654	0.886886777692685
"BCEN2424_RS34430"	2333806.37491745	-0.0250679831111408	0.149767073903839	-0.167379801565972	0.867071216987821	0.979762710625342
"BCEN2424_RS05455"	71.4501486929124	0.753237776320507	0.335143910868996	2.24750548016055	0.0246077407443271	0.728248544007313
"BCEN2424_RS05460"	71.4501486929124	0.753237776320507	0.335143910868996	2.24750548016055	0.0246077407443271	0.728248544007313
"BCEN2424_RS05690"	320.346666574404	0.315446665746793	0.268698300327355	1.17398087506503	0.240402686107567	0.781986048555907
"BCEN2424_RS05695"	320.346666574404	0.315446665746793	0.268698300327355	1.17398087506503	0.240402686107567	0.781986048555907
"BCEN2424_RS05700"	320.346666574404	0.315446665746793	0.268698300327355	1.17398087506503	0.240402686107567	0.781986048555907
"BCEN2424_RS05705"	5.86561068195573	0.536517254256991	0.624061810062195	0.859718133054034	0.389944436682161	0.835252457234431
"BCEN2424_RS06505"	14.2410515238378	-0.113011798384343	0.479249347402648	-0.235810020392985	0.8135800922588	0.966660125462575
"BCEN2424_RS06555"	42.1718583715957	0.0516060491837961	0.312245873260195	0.16527375892905	0.868728512108003	0.980163609441416
"BCEN2424_RS07300"	6.32350563784984	0.0555549153029009	0.526031686375318	0.105611347646581	0.915890720987997	0.991189571984281
"BCEN2424_RS07355"	0.941148412139747	-0.198479136434779	1.63014091438121	-0.121755815514955	0.903092407629537	0.987721304169479
"BCEN2424_RS07650"	23.5730559128155	0.440208200933288	0.374192571397407	1.17642153955475	0.239426468601483	0.781986048555907
"BCEN2424_RS07655"	23.5730559128155	0.440208200933288	0.374192571397407	1.17642153955475	0.239426468601483	0.781986048555907
"BCEN2424_RS07665"	23.5730559128155	0.440208200933288	0.374192571397407	1.17642153955475	0.239426468601483	0.781986048555907
"BCEN2424_RS07730"	0.044150073151805	0	5.26764854491343	0	1	1
"BCEN2424_RS07790"	3877.42849859216	0.110417693645739	0.371384377372354	0.297313781551541	0.766226960952055	0.954579718932129
"BCEN2424_RS34315"	42.5225233223014	1.22926878235182	0.322474398307205	3.8119887619133	0.000137853145711886	0.103372627640701
"BCEN2424_RS09510"	105.700594201386	0.278901871155617	0.270755467160846	1.03008768051923	0.302968847785888	0.804920335636643
"BCEN2424_RS09515"	436.718621415209	0.459002672645233	0.366092071036937	1.25379025922395	0.209918250637809	0.771629648024642
"BCEN2424_RS09590"	8.17611271825994	-0.548508425561723	0.509323073662446	-1.07693614117559	0.281508795611155	0.798373401115114
"BCEN2424_RS10205"	105.700594201386	0.278901871155617	0.270755467160846	1.03008768051923	0.302968847785888	0.804920335636643
"BCEN2424_RS10210"	944.57627626334	0.225634876384242	0.225076884960513	1.00247911474262	0.316112248634987	0.80754513106629
"BCEN2424_RS10215"	118.461678253961	0.0845204243476989	0.279207807616491	0.302715117708287	0.762106975774916	0.953876220779843
"BCEN2424_RS10220"	944.57627626334	0.225634876384242	0.225076884960513	1.00247911474262	0.316112248634987	0.80754513106629
"BCEN2424_RS10225"	105.700594201386	0.278901871155617	0.270755467160846	1.03008768051923	0.302968847785888	0.804920335636643
"BCEN2424_RS10230"	944.57627626334	0.225634876384242	0.225076884960513	1.00247911474262	0.316112248634987	0.80754513106629
"BCEN2424_RS10235"	410.36647163861	0.232458974989539	0.300282089951832	0.774135330638026	0.438850766245617	0.846560709333028
"BCEN2424_RS10330"	99.0248486444294	-0.286531781818341	0.325520678991656	-0.88022605109424	0.378736863539225	0.835252457234431
"BCEN2424_RS10685"	0.461109829813428	-1.07386262325192	2.07279458629653	-0.518074791564655	0.604406087603397	0.911235865030865
"BCEN2424_RS10775"	0.231802841722489	-0.208663974889752	2.8120517326322	-0.0742034623575127	0.940848490885842	0.996475212674389
"BCEN2424_RS10905"	8.73802637328861	0.282134222226292	0.556376074391364	0.507092657668515	0.612089806537408	0.915110450363749
"BCEN2424_RS11060"	0.052473736195439	0	5.26764854491343	0	1	1
"BCEN2424_RS11065"	91818.5484809502	2.09122580368388	0.878806263523848	2.37962095911612	0.017330454173221	0.716145292934269
