"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0363476981507572	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108510.421961146	-0.248059530517001	0.933190707629671	-0.265818689029897	0.790378849120104	0.952629405685304
"BCEN2424_RS00050"	53156.5758450498	-0.0423824246640562	1.0929826537093	-0.0387768502274223	0.969068301792151	0.995075352079356
"BCEN2424_RS00095"	5.94609874363835	0.107778115286579	0.568503230008063	0.189582239110675	0.849636505935284	NA
"BCEN2424_RS00745"	188.757382939893	0.397934286179286	0.397128724849127	1.00202846402124	0.316329845673251	0.750021764228646
"BCEN2424_RS01415"	6.1470026897975	0.458076197037802	0.531187310750004	0.862362838432691	0.388487883392803	NA
"BCEN2424_RS01610"	49209.6819809107	-0.00764643796524942	1.09895406024407	-0.00695792321250551	0.994448425287975	0.998696646292437
"BCEN2424_RS01615"	491.674928108545	-0.499256414553737	0.298944667595163	-1.67006295368962	0.0949069088138575	0.542405324013003
"BCEN2424_RS01620"	57.6698861463102	-0.660229606150303	0.312410654922038	-2.11333895226801	0.0345717670252274	0.397638393281177
"BCEN2424_RS01625"	108510.421961146	-0.248059530517001	0.933190707629671	-0.265818689029897	0.790378849120104	0.952629405685304
"BCEN2424_RS01630"	0.0363476981507572	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.178937975024	-0.275755019233707	0.32947112144512	-0.836962638862536	0.402613569055209	0.794324404587171
"BCEN2424_RS01640"	3440.97425325178	-0.538316876371904	0.316207449923486	-1.70241680422824	0.0886772621348512	0.531008354884944
"BCEN2424_RS01645"	1136.06042452095	-0.28391773333064	0.257315272252029	-1.10338469553628	0.269860140039687	0.72801773008542
"BCEN2424_RS01655"	291.474344501018	-0.306099123029169	0.19499082388682	-1.56981296313124	0.116458630869025	0.575935573438045
"BCEN2424_RS02220"	1.63259602609419	-1.06646852853817	0.86881645354968	-1.22749577794131	0.219636307719747	NA
"BCEN2424_RS02700"	51142.6904691235	0.0225362449614825	1.10466244147369	0.0204010239828718	0.983723467000995	0.997442695409386
"BCEN2424_RS02705"	491.674928108545	-0.499256414553737	0.298944667595163	-1.67006295368962	0.0949069088138575	0.542405324013003
"BCEN2424_RS02710"	57.6698861463102	-0.660229606150303	0.312410654922038	-2.11333895226801	0.0345717670252274	0.397638393281177
"BCEN2424_RS02715"	108510.421961146	-0.248059530517001	0.933190707629671	-0.265818689029897	0.790378849120104	0.952629405685304
"BCEN2424_RS02720"	0.0363476981507572	0	6.00631008342227	0	1	NA
"BCEN2424_RS02890"	52.4050957707308	-0.550625382566684	0.501451395187849	-1.09806331750341	0.272176841816585	0.728984592694812
"BCEN2424_RS34380"	301401.792239889	0.277567838696399	0.269650659310358	1.02936087531286	0.303310127052005	0.743067932307797
"BCEN2424_RS03940"	35.1284731870312	-0.210452080594512	0.404175851614966	-0.520694345675547	0.602579713951074	NA
"BCEN2424_RS04540"	24.4843259640494	0.550924678307178	0.342161513817555	1.61013046780281	0.107369376922571	NA
"BCEN2424_RS04845"	290.636730842277	-0.272278914587755	0.494061762017916	-0.551102990597119	0.581563075460579	0.889416750037184
"BCEN2424_RS04920"	5.97918953024371	-0.0669345622146922	0.551814359781898	-0.121299058330319	0.903454165855594	NA
"BCEN2424_RS04960"	669.036690730828	0.127007946169852	0.336060247056203	0.37793207403258	0.705481054830402	0.932533562573095
"BCEN2424_RS04965"	669.036690730828	0.127007946169852	0.336060247056203	0.37793207403258	0.705481054830402	0.932533562573095
"BCEN2424_RS04970"	669.036690730828	0.127007946169852	0.336060247056203	0.37793207403258	0.705481054830402	0.932533562573095
"BCEN2424_RS05030"	4.06487308602026	-0.272112694464149	0.593337365347723	-0.458613784258604	0.64651153622612	NA
"BCEN2424_RS34430"	2352420.17077002	-0.0249535405075281	0.133865871755877	-0.186407036985755	0.852125574429722	0.97101747640059
"BCEN2424_RS05455"	64.3634535408548	-0.158010663052575	0.429582463024369	-0.367823821159131	0.713004605623109	0.933375516037628
"BCEN2424_RS05460"	64.3634535408548	-0.158010663052575	0.429582463024369	-0.367823821159131	0.713004605623109	0.933375516037628
"BCEN2424_RS05690"	294.325192204271	-0.321839925158017	0.269577354188099	-1.19386855074426	0.23252939128295	0.702674754283166
"BCEN2424_RS05695"	294.325192204271	-0.321839925158017	0.269577354188099	-1.19386855074426	0.23252939128295	0.702674754283166
"BCEN2424_RS05700"	294.325192204271	-0.321839925158017	0.269577354188099	-1.19386855074426	0.23252939128295	0.702674754283166
"BCEN2424_RS05705"	5.41304356047177	-0.0745791336465577	0.568091352842367	-0.131280177516188	0.895553672119742	NA
"BCEN2424_RS06505"	14.2243891153878	-0.0669369849102533	0.472499530531049	-0.14166571728658	0.887344055413413	NA
"BCEN2424_RS06555"	37.2082434370167	-0.295017751704421	0.327559573998424	-0.900653728734671	0.367772457893832	NA
"BCEN2424_RS07300"	5.94609874363835	0.107778115286579	0.568503230008063	0.189582239110675	0.849636505935284	NA
"BCEN2424_RS07355"	0.863118120896289	1.55093670120987	1.70053671590761	0.912027765529369	0.361754101523725	NA
"BCEN2424_RS07650"	22.3532514782165	-0.191258573337931	0.425771045585019	-0.449205213274045	0.653283627098851	NA
"BCEN2424_RS07655"	22.3532514782165	-0.191258573337931	0.425771045585019	-0.449205213274045	0.653283627098851	NA
"BCEN2424_RS07665"	22.3532514782165	-0.191258573337931	0.425771045585019	-0.449205213274045	0.653283627098851	NA
"BCEN2424_RS07730"	0.0305743017657464	0	6.00631008342227	0	1	NA
"BCEN2424_RS07790"	3894.23352792239	-0.0232739020611574	0.444347329744583	-0.0523777245933616	0.958227722948386	0.99232743316872
"BCEN2424_RS34315"	38.7782999598158	0.563658266757299	0.330484668293524	1.70555042588747	0.0880918160819623	NA
"BCEN2424_RS09510"	94.6016569574322	-0.375360533655797	0.298187450229938	-1.25880728168254	0.208099949588885	0.68075998393928
"BCEN2424_RS09515"	415.541964454119	-0.407502361495009	0.471602964709684	-0.86407930396677	0.387544327275632	0.789623608250181
"BCEN2424_RS09590"	8.5707158731908	-0.225668397576474	0.557954565315211	-0.404456584110903	0.685876997887256	NA
"BCEN2424_RS10205"	94.6016569574322	-0.375360533655797	0.298187450229938	-1.25880728168254	0.208099949588885	0.68075998393928
"BCEN2424_RS10210"	873.74069330442	-0.392793590767304	0.259022955591677	-1.51644316570344	0.129407331170099	0.599071727789953
"BCEN2424_RS10215"	105.502589781669	-0.865392104546613	0.304935562744479	-2.83795073542068	0.00454041898991744	0.229063336188644
"BCEN2424_RS10220"	873.74069330442	-0.392793590767304	0.259022955591677	-1.51644316570344	0.129407331170099	0.599071727789953
"BCEN2424_RS10225"	94.6016569574322	-0.375360533655797	0.298187450229938	-1.25880728168254	0.208099949588885	0.68075998393928
"BCEN2424_RS10230"	873.74069330442	-0.392793590767304	0.259022955591677	-1.51644316570344	0.129407331170099	0.599071727789953
"BCEN2424_RS10235"	377.745607105376	-0.381342395625142	0.314473342956661	-1.21263822249537	0.225268168609313	0.69954675474632
"BCEN2424_RS10330"	92.8317054049353	-0.362716176565113	0.372907777383563	-0.972669916165446	0.330717381651133	0.754364154324658
"BCEN2424_RS10685"	0.319447342779303	-0.303162511177805	2.65869991122855	-0.114026599954907	0.909216707247664	NA
"BCEN2424_RS10775"	0.16046940293582	-0.303161145010172	4.01015252644651	-0.0755984075445655	0.939738603435861	NA
"BCEN2424_RS10905"	7.96734747843281	-0.393972100787623	0.496725931937823	-0.79313777569587	0.427697555948943	NA
"BCEN2424_RS11060"	0.0363476981507572	0	6.00631008342227	0	1	NA
"BCEN2424_RS11065"	120837.90117767	-0.292880912425569	0.932654253866136	-0.314029460769078	0.753498663289317	0.945337101484942
"BCEN2424_RS11070"	57.6698861463102	-0.660229606150303	0.312410654922038	-2.11333895226801	0.0345717670252274	0.397638393281177
"BCEN2424_RS11075"	491.674928108545	-0.499256414553737	0.298944667595163	-1.67006295368962	0.0949069088138575	0.542405324013003
"BCEN2424_RS11080"	67058.7642471181	-0.201358619329896	1.06634571587311	-0.188830523096373	0.850225648211129	0.970929126523413
"BCEN2424_RS11245"	187.395395340592	-0.553951340520819	0.502773046402553	-1.10179204013512	0.270552091688514	0.72801773008542
"BCEN2424_RS11825"	23.8954963437879	-0.410989166009617	0.405655842343579	-1.01314740997005	0.31098975573086	NA
"BCEN2424_RS11915"	0.0305743017657464	0	6.00631008342227	0	1	NA
"BCEN2424_RS34440"	59343.5687448479	0.190271429285033	0.324721561442467	0.585952557137924	0.557907397130708	0.879298966147177
"BCEN2424_RS12390"	32.6398664554556	-0.091960867861922	0.415251773181655	-0.221458097956617	0.824735759572453	NA
"BCEN2424_RS13285"	0.461528157128437	0.743997927790746	1.61328556921695	0.461169393681407	0.644677078331039	NA
"BCEN2424_RS14005"	289.386020280489	-0.2768610889134	0.244344502936276	-1.13307680584737	0.257182000625139	0.716243796603217
